等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
,,,5.2.2 焊接过程操作,"（12）焊接
①打底层的焊接
②填充层的焊接
③盖面层的焊接",,,300
,,,,"（13）二氧化碳气体保护焊基本操作要领
①引弧、收弧
②接头
③焊枪摆动方式
④焊枪运动方法
⑤操作姿势",,,120
,,,5.2.3 背面清根处理,"（14）双面焊根部焊道背面清根
①清根目的
②清根工机具
③清根工艺",,,60
,,5.3 焊后检查,5.3.1 接头表面清理,"（15）焊后清理
①清理要求
②清理内容",,PPT＋讲解,240
,,,5.3.2 焊后质量自检,"（16）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,PPT＋讲解,300
,6.低碳钢或低合金钢板搭接平焊熔化极气体保护焊,6.1 焊前准备,6.1.1 安全检查,（1）二氧化碳气体保护焊常用工机具,,操作+讲解,240
,,,,"（2）二氧化碳气体保护焊常用夹具
①拉紧器     
②管口钳
③大力钳",,,
,,,,"（3）材料准备
①试件准备
②焊材准备
③搭接准备",,,
,,,,"（4）二氧化碳气体保护焊设备工机具安全检查
①焊机安全检查
②供气系统安全检查
③送丝系统安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,"（5）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（6）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,,,,,180
,,,,,,,240
,,,6.1.2 坡口准备及定位,"（7）搭接准备
①搭接长度
②搭接工艺",,,
,,,,"（8）焊前清理
①清理范围
②清理方法",,,120
,,,,（9）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,
,,,,"（10）组对及定位焊
①组队
②定位焊",,,
,,,6.1.3 预留反变形量,"（11）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,
,,,,,,操作+PPT+讲解,
,,6.2 焊接操作,6.2.1 焊接参数选择,（12）焊接参数的确认与调节,,,60
,,,6.2.2 焊接过程操作,"（13）焊接
①打底层的焊接
②填充层的焊接
③盖面层的焊接",,,300
,,,,"（14）二氧化碳气体保护焊基本操作要领
①引弧、收弧
②接头
③焊枪摆动方式
④焊枪运动方法
⑤操作姿势",,,120
,,6.3 焊后检查,6.3.1 接头表面清理,"（15）焊后清理
①清理要求
②清理内容",,,60
,,,6.3.2 焊后质量自检,"（16）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,PPT＋讲解,240
,"7.低碳钢或低合金钢板角接或Ｔ形接头平焊手工钨极氩弧焊
",7.1 焊前准备,7.1.1 安全检查,（1）手工钨极氩弧焊的原理、特点及应用,,操作+讲解,240
,,,,"（2）手工钨极氩弧焊设备
①焊接电源
②焊枪
③冷却系统                                
④供气系统
⑤控制系统",,,
,,,,"（3）手工钨极氩弧焊焊接参数
①电源极性
②焊接电流
③电弧电压
④焊接速度
⑤气体流量
⑥喷嘴直径
⑦喷嘴与焊件距离
⑧钨极伸出长度",,,
,,,,"（4）焊接材料
①焊丝
②钨极
③氩气                         ",,,
,,,,（5）手工钨极氩弧焊常用工机具,,,
,,,,"（6）手工钨极氩弧焊常用夹具
①拉紧器     
②管口钳",,,
